報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023年31週(07月31日～08月06日),2023年08月09日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週,24週,24週,25週,25週,26週,26週,27週,27週,28週,28週,29週,29週,30週,30週,31週,31週
東京都,6394,24.69,12,0.05,21,0.08,16,0.06,15,0.06,46,0.18,10,0.04,9,0.03,11,0.04,15,0.06,26,0.1,39,0.15,37,0.14,44,0.17,64,0.25,84,0.32,110,0.42,87,0.33,98,0.38,95,0.36,171,0.65,293,1.12,364,1.39,448,1.72,604,2.32,700,2.69,686,2.64,704,2.7,630,2.41,397,1.52,308,1.18,250,0.97
神奈川県,4944,21.68,11,0.05,13,0.06,23,0.1,11,0.05,13,0.06,18,0.08,15,0.07,14,0.06,33,0.14,13,0.06,9,0.04,10,0.04,18,0.08,25,0.11,23,0.1,18,0.08,39,0.17,26,0.12,57,0.25,113,0.49,160,0.7,208,0.9,339,1.51,417,1.81,548,2.35,543,2.29,650,2.78,565,2.4,427,1.83,380,1.65,205,0.91
新潟県,3521,65.2,29,0.52,20,0.36,42,0.75,54,0.96,25,0.45,42,0.75,29,0.52,19,0.34,61,1.09,30,0.54,41,0.73,34,0.61,35,0.65,34,0.63,46,0.85,96,1.78,72,1.33,50,0.93,63,1.17,123,2.28,141,2.61,143,2.65,197,3.65,248,4.59,319,5.91,306,5.67,331,6.13,285,5.28,228,4.22,205,3.8,173,3.15
富山県,1401,48.31,5,0.17,9,0.31,12,0.41,13,0.45,18,0.62,24,0.83,36,1.24,44,1.52,18,0.62,16,0.55,28,0.97,33,1.14,31,1.07,42,1.45,37,1.28,76,2.62,58,2,32,1.1,30,1.03,44,1.52,29,1,20,0.69,48,1.66,33,1.14,64,2.21,91,3.14,97,3.34,103,3.55,70,2.41,97,3.34,143,4.93
石川県,1183,40.79,3,0.1,5,0.17,5,0.17,18,0.62,30,1.03,46,1.59,20,0.69,19,0.66,25,0.86,15,0.52,14,0.48,16,0.55,7,0.24,14,0.48,26,0.9,26,0.9,27,0.93,26,0.9,31,1.07,53,1.83,65,2.24,65,2.24,49,1.69,55,1.9,67,2.31,88,3.03,81,2.79,62,2.14,84,2.9,68,2.34,73,2.52
福井県,1378,59.91,6,0.26,5,0.22,7,0.3,5,0.22,8,0.35,6,0.26,6,0.26,5,0.22,6,0.26,9,0.39,10,0.43,16,0.7,18,0.78,40,1.74,85,3.7,91,3.96,68,2.96,82,3.28,64,2.56,102,4.08,80,3.2,71,2.84,88,3.52,59,2.36,63,2.52,79,3.16,92,3.68,72,2.88,64,2.56,38,1.52,33,1.32
山梨県,578,24.08,14,0.58,10,0.42,10,0.42,5,0.21,8,0.33,1,0.04,6,0.25,4,0.17,1,0.04,0,0,1,0.04,1,0.04,4,0.17,4,0.17,0,0,1,0.04,0,0,0,0,2,0.08,2,0.08,0,0,29,1.21,25,1.04,32,1.33,27,1.13,25,1.04,40,1.67,84,3.5,98,4.08,82,3.42,62,2.58
長野県,1425,26.89,25,0.46,20,0.37,22,0.41,33,0.61,14,0.26,5,0.09,9,0.17,9,0.17,10,0.19,7,0.13,10,0.19,15,0.28,15,0.28,4,0.08,8,0.15,15,0.28,11,0.21,13,0.25,11,0.2,26,0.48,50,0.93,33,0.61,55,1.02,75,1.39,68,1.26,125,2.31,129,2.43,127,2.4,144,2.67,180,3.33,157,2.91
岐阜県,2428,46.69,5,0.09,4,0.08,2,0.04,1,0.02,1,0.02,6,0.11,10,0.19,11,0.21,4,0.08,8,0.15,6,0.11,10,0.19,12,0.24,23,0.43,30,0.57,45,0.85,44,0.83,56,1.06,59,1.11,88,1.66,120,2.26,140,2.64,218,4.11,244,4.6,253,4.77,266,5.02,276,5.21,191,3.6,133,2.51,105,1.98,57,1.08
静岡県,3546,40.3,20,0.22,15,0.17,37,0.42,22,0.25,15,0.17,26,0.29,36,0.4,25,0.28,18,0.2,34,0.38,14,0.16,31,0.35,36,0.39,32,0.36,31,0.35,51,0.58,50,0.57,62,0.7,46,0.52,74,0.83,110,1.24,165,1.85,204,2.29,253,2.84,332,3.73,336,3.82,328,3.69,346,3.89,329,3.7,239,2.69,229,2.57
愛知県,5624,30.9,5,0.03,13,0.07,9,0.05,22,0.12,13,0.07,28,0.15,12,0.07,10,0.05,13,0.07,27,0.15,16,0.09,25,0.14,29,0.16,37,0.2,58,0.32,80,0.44,88,0.48,89,0.49,123,0.68,178,0.98,278,1.53,411,2.26,509,2.8,524,2.88,584,3.21,571,3.14,549,3.02,472,2.59,334,1.84,300,1.65,217,1.19
三重県,2636,59.91,0,0,0,0,5,0.11,3,0.07,1,0.02,1,0.02,0,0,1,0.02,1,0.02,7,0.16,7,0.16,2,0.04,4,0.09,2,0.04,17,0.38,21,0.47,28,0.62,39,0.87,37,0.82,69,1.53,84,1.87,135,3,176,3.91,203,4.51,272,6.04,283,6.29,296,6.58,327,7.27,254,5.64,218,4.84,143,3.18
滋賀県,1229,35.11,2,0.06,2,0.06,3,0.08,2,0.06,1,0.03,1,0.03,1,0.03,0,0,4,0.11,2,0.06,3,0.08,9,0.25,8,0.22,8,0.23,22,0.61,49,1.36,81,2.25,38,1.12,59,1.64,86,2.39,112,3.11,101,2.81,93,2.58,91,2.53,90,2.5,89,2.47,78,2.17,64,1.78,58,1.61,36,1,36,1
京都府,2247,29.57,9,0.12,4,0.05,7,0.09,8,0.11,4,0.05,12,0.16,3,0.04,7,0.09,20,0.26,23,0.3,42,0.55,57,0.76,68,0.89,66,0.87,97,1.28,144,1.89,149,2.01,105,1.38,100,1.32,137,1.78,162,2.1,106,1.39,165,2.14,122,1.58,116,1.51,103,1.36,95,1.23,84,1.09,93,1.21,80,1.04,59,0.77
大阪府,9504,49.24,24,0.12,30,0.15,15,0.08,26,0.13,29,0.15,29,0.15,40,0.21,52,0.27,63,0.32,101,0.52,124,0.64,190,0.97,219,1.12,236,1.22,435,2.24,583,3.04,619,3.17,603,3.11,543,2.86,709,3.73,740,3.87,643,3.35,627,3.28,521,2.73,502,2.61,348,1.79,360,1.86,335,1.73,298,1.54,232,1.19,228,1.17
兵庫県,7164,55.97,8,0.06,21,0.16,16,0.12,22,0.17,12,0.09,22,0.17,27,0.21,41,0.32,30,0.23,35,0.27,46,0.36,70,0.54,92,0.71,94,0.73,140,1.09,205,1.59,233,1.82,196,1.54,265,2.05,339,2.63,458,3.55,534,4.14,593,4.6,615,4.77,606,4.7,557,4.32,552,4.28,459,3.56,344,2.67,297,2.3,235,1.82
奈良県,1883,55.38,1,0.03,1,0.03,3,0.09,4,0.12,7,0.21,11,0.32,15,0.44,9,0.26,13,0.38,11,0.32,20,0.59,20,0.59,10,0.29,23,0.68,72,2.12,88,2.59,81,2.38,69,2.03,90,2.65,129,3.79,136,4,148,4.35,175,5.15,163,4.79,143,4.21,102,3,77,2.26,103,3.03,67,1.97,51,1.5,41,1.21
和歌山県,2013,67.1,9,0.3,12,0.4,1,0.03,16,0.53,5,0.17,4,0.13,1,0.03,10,0.33,3,0.1,2,0.07,2,0.07,7,0.23,21,0.7,20,0.67,50,1.67,111,3.7,113,3.77,151,5.03,125,4.17,184,6.13,177,5.9,154,5.13,125,4.17,118,3.93,135,4.5,147,4.9,110,3.67,72,2.4,54,1.8,51,1.7,23,0.77
鳥取県,724,38.11,1,0.05,1,0.05,2,0.11,0,0,0,0,1,0.05,2,0.11,1,0.05,2,0.11,2,0.11,0,0,0,0,1,0.05,0,0,1,0.05,2,0.11,24,1.26,1,0.05,3,0.16,37,1.95,13,0.68,21,1.11,35,1.84,25,1.32,55,2.89,58,3.05,115,6.05,113,5.95,91,4.79,58,3.05,59,3.11
島根県,1255,54.57,0,0,0,0,0,0,0,0,0,0,2,0.09,0,0,2,0.09,3,0.13,1,0.04,0,0,0,0,1,0.04,1,0.04,2,0.09,5,0.22,8,0.35,6,0.26,6,0.26,18,0.78,41,1.78,44,1.91,77,3.35,119,5.17,134,5.83,155,6.74,163,7.09,153,6.65,116,5.04,101,4.39,97,4.22
岡山県,1575,29.17,9,0.17,20,0.37,19,0.35,16,0.3,46,0.85,12,0.22,8,0.15,18,0.33,25,0.46,17,0.31,12,0.22,7,0.13,14,0.26,12,0.22,18,0.33,27,0.5,37,0.69,17,0.31,13,0.24,28,0.52,57,1.06,50,0.93,67,1.24,80,1.48,140,2.59,100,1.85,193,3.57,195,3.61,144,2.67,100,1.85,74,1.37
広島県,3161,44.52,9,0.13,26,0.36,19,0.26,16,0.22,9,0.13,11,0.15,18,0.25,7,0.1,7,0.1,5,0.07,15,0.21,21,0.29,42,0.58,31,0.43,60,0.83,69,0.96,100,1.39,63,0.88,103,1.45,154,2.17,247,3.48,256,3.61,340,4.79,320,4.51,212,2.99,221,3.16,261,3.73,176,2.51,153,2.19,115,1.64,75,1.09
山口県,3349,77.88,12,0.27,4,0.09,11,0.24,11,0.24,13,0.29,19,0.42,16,0.36,16,0.36,5,0.11,8,0.18,16,0.36,14,0.31,20,0.44,45,1,54,1.26,75,1.74,54,1.26,72,1.67,96,2.23,196,4.56,237,5.51,259,6.02,308,7.16,260,6.05,268,6.23,331,7.7,304,7.07,217,5.05,180,4.19,109,2.53,119,2.77
徳島県,1395,60.65,2,0.09,3,0.13,11,0.48,8,0.35,13,0.57,9,0.39,5,0.22,2,0.09,5,0.22,2,0.09,2,0.09,5,0.22,5,0.22,6,0.26,5,0.22,7,0.3,13,0.57,10,0.43,11,0.48,32,1.39,46,2,38,1.65,68,2.96,85,3.7,124,5.39,131,5.7,161,7,164,7.13,167,7.26,154,6.7,101,4.39
香川県,1028,36.71,13,0.46,7,0.25,3,0.11,6,0.21,4,0.14,14,0.5,17,0.61,10,0.36,7,0.25,2,0.07,5,0.18,5,0.18,3,0.11,10,0.36,11,0.39,27,0.96,26,0.93,23,0.82,11,0.39,29,1.04,29,1.04,46,1.64,71,2.54,87,3.11,76,2.71,74,2.64,76,2.71,104,3.71,74,2.64,88,3.14,70,2.5
愛媛県,2415,67.08,6,0.16,7,0.19,6,0.16,6,0.16,18,0.49,21,0.57,26,0.7,14,0.38,17,0.46,9,0.24,10,0.27,7,0.19,24,0.67,9,0.24,23,0.62,41,1.11,39,1.05,61,1.65,50,1.35,50,1.35,81,2.19,111,3,178,4.81,235,6.35,207,5.59,241,6.51,219,5.92,236,6.38,208,5.62,158,4.27,97,2.62
高知県,859,33.04,8,0.3,11,0.41,17,0.63,22,0.81,6,0.22,12,0.44,8,0.3,4,0.15,6,0.22,14,0.52,7,0.26,3,0.11,2,0.07,4,0.15,6,0.22,23,0.85,19,0.7,7,0.26,7,0.27,27,1.04,17,0.65,16,0.62,24,0.92,26,1,41,1.58,64,2.46,59,2.27,87,3.35,83,3.19,103,3.96,126,4.85
福岡県,8090,67.42,41,0.34,24,0.2,64,0.53,45,0.38,67,0.56,47,0.39,57,0.48,60,0.5,54,0.45,83,0.69,86,0.72,91,0.76,83,0.69,106,0.88,186,1.55,201,1.68,161,1.34,157,1.31,175,1.46,233,1.94,344,2.87,386,3.22,518,4.32,651,5.43,669,5.58,637,5.31,753,6.28,713,5.94,607,5.06,448,3.73,343,2.86
佐賀県,1499,65.17,10,0.43,16,0.7,16,0.7,18,0.78,12,0.52,14,0.61,18,0.78,25,1.09,34,1.48,40,1.74,31,1.35,14,0.61,42,1.83,37,1.61,57,2.48,45,1.96,41,1.78,25,1.09,25,1.09,64,2.78,87,3.78,46,2,49,2.13,84,3.65,71,3.09,113,4.91,121,5.26,126,5.48,83,3.61,82,3.57,53,2.3
長崎県,1729,39.3,21,0.48,21,0.48,36,0.82,28,0.64,35,0.8,41,0.93,63,1.43,23,0.52,29,0.66,24,0.55,32,0.73,45,1.02,50,1.14,55,1.25,60,1.36,68,1.55,90,2.05,59,1.34,38,0.86,41,0.93,47,1.07,44,1,89,2.02,79,1.8,77,1.75,81,1.84,77,1.75,92,2.09,85,1.93,90,2.05,109,2.48
熊本県,2139,43.65,14,0.28,32,0.64,84,1.68,71,1.42,57,1.14,59,1.18,53,1.06,53,1.06,43,0.86,41,0.82,59,1.18,41,0.84,32,0.65,15,0.31,30,0.64,29,0.6,10,0.2,30,0.6,33,0.66,28,0.56,27,0.54,25,0.51,68,1.36,106,2.12,98,1.96,141,2.82,143,2.92,191,3.82,182,3.64,177,3.54,167,3.34
大分県,2590,71.94,2,0.06,0,0,4,0.11,2,0.06,2,0.06,1,0.03,1,0.03,1,0.03,0,0,0,0,2,0.06,9,0.25,5,0.14,8,0.22,39,1.08,20,0.56,36,1,58,1.61,52,1.44,60,1.67,78,2.17,116,3.22,151,4.19,242,6.72,277,7.69,269,7.47,369,10.25,298,8.28,217,6.03,147,4.08,124,3.44
宮崎県,2192,62.63,7,0.19,8,0.22,13,0.37,14,0.39,9,0.25,5,0.14,10,0.28,7,0.19,22,0.61,19,0.53,20,0.56,20,0.56,39,1.08,45,1.25,59,1.64,94,2.61,59,1.69,60,1.67,46,1.28,103,2.86,121,3.36,130,3.61,173,4.81,176,4.89,179,4.97,165,4.58,146,4.06,124,3.44,103,2.86,133,3.69,83,2.31
鹿児島県,3860,72.83,18,0.33,15,0.28,33,0.61,40,0.74,50,0.93,35,0.65,33,0.61,58,1.07,50,0.93,68,1.26,67,1.24,73,1.35,82,1.58,127,2.4,226,4.26,212,4,134,2.53,131,2.47,114,2.15,160,3.02,172,3.25,165,3.11,220,4.15,234,4.42,223,4.21,231,4.36,216,4.08,223,4.21,171,3.23,144,2.72,135,2.55
沖縄県,1394,44.97,11,0.33,6,0.18,6,0.18,7,0.21,11,0.33,9,0.28,8,0.25,4,0.13,3,0.09,3,0.09,8,0.25,6,0.19,10,0.3,6,0.18,19,0.59,26,0.81,26,0.81,29,0.94,25,0.81,27,0.87,58,1.87,53,1.71,61,1.97,98,3.16,135,4.35,137,4.42,150,4.84,154,4.97,127,4.1,103,3.32,68,2.19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咽頭結膜熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週,16週,16週,17週,17週,18週,18週,19週,19週,20週,20週,21週,21週,22週,22週,23週,23週,24週,24週,25週,25週,26週,26週,27週,27週,28週,28週,29週,29週,30週,30週,31週,31週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,33175,10.56,364,0.12,362,0.11,386,0.12,375,0.12,406,0.13,389,0.12,529,0.17,494,0.16,487,0.15,528,0.17,530,0.17,505,0.16,578,0.18,541,0.17,615,0.2,828,0.26,978,0.31,882,0.28,1444,0.46,1414,0.45,2016,0.64,1931,0.62,2166,0.69,2093,0.67,1924,0.61,1775,0.56,1629,0.52,1746,0.56,1587,0.5,1680,0.53,1993,0.64
北海道,2156,15.62,36,0.26,34,0.24,37,0.27,26,0.19,39,0.28,20,0.14,26,0.19,36,0.26,23,0.17,26,0.19,40,0.29,25,0.18,32,0.23,22,0.16,36,0.26,55,0.39,50,0.36,47,0.34,77,0.56,82,0.6,107,0.78,136,0.99,160,1.17,163,1.19,162,1.18,130,0.95,135,0.99,124,0.91,107,0.78,84,0.6,79,0.56
青森県,241,6.03,5,0.12,1,0.02,5,0.12,1,0.02,5,0.12,3,0.07,6,0.14,5,0.12,3,0.07,2,0.05,5,0.12,4,0.1,4,0.1,3,0.08,3,0.08,4,0.1,8,0.2,12,0.3,13,0.34,12,0.32,17,0.45,6,0.16,16,0.42,12,0.32,22,0.58,16,0.42,16,0.42,6,0.16,8,0.21,8,0.21,10,0.26
岩手県,174,4.46,4,0.1,1,0.03,4,0.1,2,0.05,3,0.08,3,0.08,2,0.05,1,0.03,3,0.08,4,0.1,5,0.13,3,0.08,6,0.15,2,0.05,1,0.03,7,0.18,2,0.05,0,0,2,0.05,9,0.23,19,0.48,13,0.33,16,0.4,13,0.33,9,0.23,9,0.23,7,0.18,8,0.2,6,0.15,8,0.21,2,0.05
宮城県,473,8.45,6,0.1,8,0.14,11,0.19,10,0.17,2,0.03,9,0.16,12,0.21,5,0.09,6,0.1,5,0.09,4,0.07,7,0.12,8,0.14,3,0.05,10,0.18,19,0.35,22,0.4,13,0.24,13,0.24,12,0.22,23,0.43,29,0.54,35,0.64,43,0.78,37,0.67,25,0.45,19,0.35,22,0.4,18,0.33,18,0.33,19,0.35
秋田県,138,4.18,4,0.12,2,0.06,1,0.03,6,0.18,3,0.09,3,0.09,2,0.06,3,0.09,4,0.12,3,0.09,2,0.06,1,0.03,3,0.09,0,0,1,0.03,1,0.03,5,0.15,2,0.06,1,0.03,8,0.24,6,0.18,7,0.21,11,0.32,13,0.38,14,0.41,12,0.35,4,0.12,6,0.18,3,0.09,3,0.09,4,0.12
山形県,357,12.75,4,0.14,3,0.1,1,0.03,5,0.17,4,0.14,2,0.07,1,0.03,7,0.24,7,0.24,5,0.17,6,0.21,3,0.1,5,0.17,4,0.14,9,0.32,4,0.14,10,0.36,4,0.14,5,0.18,17,0.61,30,1.07,30,1.07,28,1,35,1.25,36,1.29,25,0.89,21,0.75,15,0.54,14,0.5,9,0.32,8,0.29
福島県,571,11.65,16,0.32,8,0.16,12,0.24,4,0.08,4,0.08,6,0.12,9,0.18,6,0.12,7,0.14,7,0.14,12,0.24,10,0.2,14,0.28,7,0.14,8,0.16,14,0.28,12,0.24,22,0.44,22,0.45,28,0.57,33,0.67,28,0.57,40,0.82,34,0.69,46,0.94,43,0.88,34,0.69,22,0.45,20,0.41,15,0.31,28,0.57
茨城県,699,9.32,4,0.05,8,0.11,1,0.01,4,0.05,7,0.09,6,0.08,7,0.09,9,0.12,7,0.09,10,0.13,9,0.12,13,0.17,10,0.13,14,0.19,13,0.17,15,0.2,15,0.19,12,0.16,36,0.48,18,0.24,40,0.53,35,0.47,73,0.97,51,0.68,38,0.51,59,0.79,38,0.51,30,0.4,36,0.48,40,0.53,41,0.55
栃木県,168,3.5,2,0.04,1,0.02,1,0.02,1,0.02,2,0.04,1,0.02,4,0.08,1,0.02,6,0.13,3,0.06,2,0.04,4,0.08,4,0.08,3,0.06,4,0.08,3,0.06,6,0.13,8,0.17,6,0.13,11,0.23,5,0.1,18,0.38,12,0.25,10,0.21,8,0.17,10,0.21,4,0.08,10,0.21,2,0.04,5,0.1,11,0.23
群馬県,674,12.72,4,0.08,11,0.21,6,0.11,11,0.21,10,0.19,5,0.09,5,0.09,5,0.09,11,0.21,7,0.13,16,0.3,9,0.17,14,0.26,25,0.46,9,0.17,16,0.3,13,0.24,9,0.17,26,0.48,15,0.28,35,0.65,23,0.43,43,0.8,45,0.83,35,0.65,40,0.74,43,0.8,41,0.76,28,0.52,47,0.87,67,1.24
埼玉県,1937,12.03,12,0.08,10,0.06,11,0.07,12,0.07,23,0.14,27,0.17,36,0.23,31,0.19,24,0.15,29,0.18,20,0.13,23,0.14,28,0.18,35,0.21,27,0.17,38,0.23,78,0.48,70,0.43,91,0.56,83,0.51,147,0.9,134,0.82,119,0.73,141,0.86,98,0.6,91,0.55,105,0.64,99,0.62,103,0.63,99,0.6,93,0.57
千葉県,1154,8.95,7,0.05,2,0.02,3,0.02,9,0.07,6,0.05,6,0.05,2,0.02,2,0.02,6,0.05,12,0.09,10,0.08,7,0.05,14,0.11,17,0.13,19,0.15,33,0.25,36,0.28,39,0.31,63,0.48,70,0.55,98,0.76,99,0.77,88,0.69,67,0.52,57,0.45,87,0.69,82,0.64,64,0.51,43,0.34,46,0.36,60,0.47
東京都,2192,8.46,17,0.07,15,0.06,19,0.07,23,0.09,22,0.08,19,0.07,25,0.1,32,0.12,30,0.12,42,0.16,22,0.09,29,0.11,44,0.17,30,0.12,54,0.21,56,0.22,83,0.32,66,0.26,122,0.47,125,0.48,147,0.56,147,0.56,130,0.5,134,0.52,111,0.43,107,0.41,92,0.35,103,0.39,102,0.39,103,0.39,141,0.55
神奈川県,1458,6.39,10,0.04,10,0.04,20,0.09,13,0.06,9,0.04,10,0.04,23,0.1,11,0.05,14,0.06,9,0.04,11,0.05,18,0.08,19,0.08,23,0.1,16,0.07,47,0.21,28,0.12,50,0.22,68,0.3,76,0.33,109,0.48,105,0.46,101,0.45,118,0.51,92,0.39,81,0.34,74,0.32,77,0.33,68,0.29,71,0.31,77,0.34
新潟県,577,10.69,8,0.14,13,0.23,2,0.04,6,0.11,10,0.18,11,0.2,11,0.2,19,0.34,12,0.21,10,0.18,16,0.29,5,0.09,14,0.26,4,0.07,10,0.19,34,0.63,12,0.22,19,0.35,14,0.26,19,0.35,42,0.78,38,0.7,65,1.2,38,0.7,33,0.61,24,0.44,22,0.41,25,0.46,11,0.2,16,0.3,14,0.25
富山県,480,16.55,3,0.1,3,0.1,8,0.28,12,0.41,15,0.52,6,0.21,13,0.45,5,0.17,8,0.28,16,0.55,12,0.41,10,0.34,5,0.17,9,0.31,14,0.48,31,1.07,29,1,16,0.55,29,1,35,1.21,20,0.69,32,1.1,29,1,27,0.93,20,0.69,27,0.93,13,0.45,10,0.34,6,0.21,15,0.52,2,0.07
石川県,257,8.86,7,0.24,4,0.14,4,0.14,6,0.21,2,0.07,3,0.1,4,0.14,4,0.14,4,0.14,12,0.41,8,0.28,9,0.31,8,0.28,7,0.24,7,0.24,6,0.21,4,0.14,9,0.31,17,0.59,7,0.24,9,0.31,21,0.72,16,0.55,14,0.48,13,0.45,16,0.55,9,0.31,6,0.21,8,0.28,8,0.28,5,0.17
福井県,446,19.39,9,0.39,4,0.17,9,0.39,9,0.39,8,0.35,11,0.48,22,0.96,14,0.61,14,0.61,5,0.22,6,0.26,6,0.26,7,0.3,11,0.48,11,0.48,14,0.61,17,0.74,15,0.6,24,0.96,23,0.92,21,0.84,20,0.8,24,0.96,23,0.92,29,1.16,22,0.88,22,0.88,23,0.92,11,0.44,7,0.28,5,0.2
山梨県,79,3.29,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0,0,0,2,0.08,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0,2,0.08,8,0.33,4,0.17,8,0.33,8,0.33,10,0.42,9,0.38,7,0.29,6,0.25,3,0.13,6,0.25,0,0
長野県,373,7.04,1,0.02,2,0.04,1,0.02,0,0,1,0.02,4,0.08,17,0.32,1,0.02,2,0.04,8,0.15,4,0.08,1,0.02,2,0.04,11,0.21,2,0.04,12,0.23,10,0.19,13,0.25,11,0.2,15,0.28,13,0.24,24,0.44,44,0.81,38,0.7,31,0.57,19,0.35,25,0.47,28,0.53,11,0.2,16,0.3,6,0.11
岐阜県,441,8.48,4,0.08,8,0.15,7,0.13,8,0.15,8,0.15,7,0.13,7,0.13,15,0.28,6,0.11,11,0.21,13,0.25,7,0.13,7,0.14,7,0.13,12,0.23,10,0.19,26,0.49,10,0.19,29,0.55,26,0.49,29,0.55,17,0.32,29,0.55,19,0.36,21,0.4,21,0.4,15,0.28,20,0.38,14,0.26,15,0.28,13,0.25
静岡県,756,8.59,11,0.12,12,0.13,10,0.11,14,0.16,11,0.12,14,0.16,28,0.31,26,0.29,11,0.12,16,0.18,15,0.17,20,0.22,17,0.18,27,0.31,22,0.25,17,0.19,22,0.25,24,0.27,30,0.34,39,0.44,52,0.58,38,0.43,54,0.61,37,0.42,32,0.36,35,0.4,20,0.22,35,0.39,19,0.21,25,0.28,23,0.26
愛知県,1333,7.32,16,0.09,11,0.06,10,0.05,8,0.04,16,0.09,17,0.09,16,0.09,22,0.12,25,0.14,36,0.2,27,0.15,20,0.11,22,0.12,25,0.14,25,0.14,25,0.14,45,0.25,48,0.26,59,0.32,55,0.3,77,0.42,75,0.41,78,0.43,96,0.53,60,0.33,76,0.42,52,0.29,83,0.46,62,0.34,68,0.37,78,0.43
三重県,498,11.32,7,0.16,7,0.16,13,0.29,6,0.14,6,0.13,5,0.11,9,0.2,16,0.36,19,0.42,16,0.36,10,0.22,8,0.18,11,0.24,10,0.22,8,0.18,13,0.29,15,0.33,13,0.29,20,0.44,23,0.51,35,0.78,39,0.87,41,0.91,34,0.76,25,0.56,28,0.62,13,0.29,16,0.36,10,0.22,12,0.27,10,0.22
滋賀県,214,6.11,8,0.22,5,0.14,6,0.17,3,0.08,8,0.22,3,0.08,11,0.31,4,0.11,10,0.28,3,0.08,1,0.03,3,0.08,3,0.08,6,0.17,5,0.14,3,0.08,4,0.11,3,0.09,5,0.14,4,0.11,8,0.22,12,0.33,20,0.56,11,0.31,11,0.31,12,0.33,10,0.28,9,0.25,11,0.31,5,0.14,7,0.19
京都府,933,12.28,13,0.17,16,0.21,10,0.13,13,0.17,13,0.17,4,0.05,11,0.14,15,0.2,15,0.2,5,0.07,11,0.14,2,0.03,6,0.08,9,0.12,16,0.21,12,0.16,22,0.3,18,0.24,41,0.54,46,0.6,47,0.61,44,0.58,48,0.62,56,0.73,57,0.74,60,0.79,38,0.49,76,0.99,85,1.1,66,0.86,58,0.75
大阪府,3338,17.3,20,0.1,20,0.1,32,0.16,28,0.14,26,0.13,23,0.12,23,0.12,18,0.09,25,0.13,15,0.08,31,0.16,42,0.22,35,0.18,56,0.29,47,0.24,47,0.24,81,0.42,63,0.32,128,0.67,108,0.57,176,0.92,145,0.76,175,0.92,168,0.88,171,0.89,163,0.84,162,0.84,232,1.2,287,1.48,327,1.68,464,2.38
兵庫県,2007,15.68,24,0.18,18,0.14,17,0.13,12,0.09,20,0.16,9,0.07,33,0.26,18,0.14,16,0.12,16,0.12,26,0.2,26,0.2,21,0.16,14,0.11,30,0.23,30,0.23,33,0.26,30,0.24,75,0.58,72,0.56,111,0.86,97,0.75,104,0.81,118,0.91,150,1.16,113,0.88,135,1.05,157,1.22,129,1,159,1.23,194,1.5
奈良県,402,11.82,5,0.15,7,0.21,8,0.24,8,0.24,7,0.21,4,0.12,0,0,6,0.18,5,0.15,5,0.15,3,0.09,6,0.18,4,0.12,4,0.12,4,0.12,7,0.21,7,0.21,7,0.21,9,0.26,13,0.38,23,0.68,23,0.68,28,0.82,19,0.56,17,0.5,21,0.62,25,0.74,30,0.88,17,0.5,28,0.82,52,1.53
和歌山県,218,7.27,0,0,0,0,3,0.1,4,0.13,4,0.13,2,0.07,5,0.17,1,0.03,0,0,3,0.1,3,0.1,4,0.13,1,0.03,2,0.07,2,0.07,4,0.13,8,0.27,9,0.3,17,0.57,12,0.4,17,0.57,13,0.43,20,0.67,17,0.57,6,0.2,13,0.43,9,0.3,7,0.23,10,0.33,10,0.33,12,0.4
