報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,
2024年10週(03月04日～03月10日),2024年03月13日作成,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週
,,,,,,,,,,,,,,,,,,,,,,
流行性角結膜炎,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,3919,5.65,495,0.72,619,0.89,446,0.64,409,0.59,368,0.53,351,0.51,326,0.47,295,0.42,313,0.45,297,0.43
北海道,62,2.14,7,0.24,16,0.55,8,0.28,6,0.21,6,0.21,2,0.07,7,0.24,6,0.21,2,0.07,2,0.07
青森県,45,4.5,5,0.5,9,0.9,3,0.3,6,0.6,3,0.3,5,0.5,2,0.2,3,0.3,4,0.4,5,0.5
岩手県,49,3.5,5,0.36,7,0.5,7,0.5,6,0.43,6,0.43,5,0.36,3,0.21,2,0.14,4,0.29,4,0.29
宮城県,24,2,3,0.25,2,0.17,0,0,0,0,2,0.17,2,0.17,3,0.25,2,0.17,6,0.5,4,0.33
秋田県,18,2.57,5,0.71,2,0.29,2,0.29,1,0.14,0,0,1,0.14,2,0.29,3,0.43,1,0.14,1,0.14
山形県,17,2.13,1,0.13,3,0.38,2,0.25,4,0.5,2,0.25,0,0,0,0,2,0.25,1,0.13,2,0.25
福島県,91,7,9,0.69,9,0.69,6,0.46,12,0.92,9,0.69,12,0.92,10,0.77,10,0.77,10,0.77,4,0.31
茨城県,171,10.06,26,1.53,20,1.18,20,1.18,15,0.88,13,0.76,15,0.88,14,0.82,11,0.65,17,1,20,1.18
栃木県,75,6.25,10,0.83,16,1.33,12,1,11,0.92,2,0.17,6,0.5,3,0.25,7,0.58,4,0.33,4,0.33
群馬県,59,4.21,9,0.64,7,0.5,3,0.21,8,0.57,7,0.5,6,0.43,4,0.29,6,0.43,4,0.29,5,0.36
埼玉県,179,4.37,25,0.61,26,0.63,26,0.63,19,0.46,13,0.31,13,0.31,16,0.38,11,0.26,16,0.39,14,0.33
千葉県,172,5.06,21,0.62,30,0.91,25,0.76,25,0.74,11,0.31,14,0.4,17,0.49,10,0.29,13,0.37,6,0.18
東京都,153,3.92,13,0.33,24,0.62,18,0.46,15,0.38,11,0.28,16,0.41,19,0.49,7,0.18,20,0.51,10,0.26
神奈川県,485,9.7,56,1.19,69,1.38,55,1.1,48,0.94,54,1.04,49,0.98,36,0.75,39,0.76,29,0.58,50,0.98
新潟県,29,2.9,1,0.1,3,0.3,4,0.4,1,0.1,6,0.6,0,0,2,0.2,5,0.5,4,0.4,3,0.3
富山県,21,3,4,0.57,1,0.14,2,0.29,4,0.57,1,0.14,2,0.29,2,0.29,2,0.29,2,0.29,1,0.14
石川県,175,29.17,36,6,21,3,10,1.43,17,2.43,21,3,18,2.57,20,2.86,9,1.29,13,1.86,10,1.43
福井県,14,4.67,0,0,0,0,4,1.33,5,1.67,1,0.33,1,0.33,1,0.33,2,0.67,0,0,0,0
山梨県,42,4.67,2,0.22,10,1.11,6,0.67,4,0.44,3,0.33,1,0.11,4,0.44,6,0.67,3,0.33,3,0.33
長野県,260,26,33,3.3,34,3.4,28,2.8,29,2.9,27,2.7,28,2.8,35,3.5,18,1.8,11,1.1,17,1.7
岐阜県,19,1.73,2,0.18,5,0.45,3,0.27,1,0.09,4,0.36,1,0.09,1,0.09,0,0,2,0.18,0,0
静岡県,79,3.59,8,0.36,21,0.95,13,0.59,10,0.45,2,0.09,9,0.41,2,0.09,4,0.18,6,0.27,4,0.18
愛知県,118,3.37,19,0.54,25,0.71,15,0.43,17,0.49,9,0.26,9,0.26,4,0.11,5,0.14,6,0.17,9,0.26
三重県,13,1.08,1,0.08,2,0.17,3,0.25,1,0.08,2,0.17,1,0.08,0,0,1,0.08,1,0.08,1,0.08
滋賀県,11,1.38,4,0.5,2,0.25,1,0.13,0,0,0,0,1,0.13,0,0,2,0.25,1,0.13,0,0
京都府,43,2.39,6,0.33,7,0.39,5,0.28,5,0.28,4,0.22,1,0.06,2,0.11,4,0.22,8,0.44,1,0.06
大阪府,156,3,12,0.23,24,0.46,20,0.38,7,0.13,14,0.27,15,0.29,12,0.23,16,0.31,23,0.44,13,0.25
兵庫県,164,4.69,16,0.46,31,0.89,20,0.57,15,0.43,13,0.37,15,0.43,15,0.43,9,0.26,14,0.4,16,0.46
奈良県,59,5.9,4,0.4,13,1.3,4,0.4,4,0.4,7,0.7,1,0.1,5,0.5,6,0.6,6,0.6,9,0.9
和歌山県,6,1.5,0,0,2,0.5,1,0.25,2,0.5,1,0.25,0,0,0,0,0,0,0,0,0,0
鳥取県,12,2.4,0,0,1,0.2,1,0.2,5,1,1,0.2,3,0.6,0,0,0,0,0,0,1,0.2
島根県,11,3.67,3,1,3,1,1,0.33,1,0.33,0,0,0,0,0,0,2,0.67,1,0.33,0,0
岡山県,46,3.83,7,0.58,9,0.75,8,0.67,4,0.33,3,0.25,5,0.42,6,0.5,2,0.17,1,0.08,1,0.08
広島県,196,10.32,17,0.89,28,1.47,21,1.11,18,0.95,21,1.11,23,1.21,22,1.16,13,0.68,16,0.84,17,0.89
山口県,44,4.89,4,0.44,10,1.11,2,0.22,11,1.22,6,0.67,2,0.22,5,0.56,2,0.22,1,0.11,1,0.11
徳島県,9,2.25,1,0.25,2,0.5,1,0.25,1,0.25,0,0,3,0.75,0,0,0,0,1,0.25,0,0
香川県,9,1.8,1,0.2,3,0.6,0,0,1,0.2,2,0.4,0,0,0,0,0,0,0,0,2,0.4
愛媛県,124,15.5,24,3,21,2.63,13,1.63,10,1.25,10,1.25,16,2,10,1.25,7,0.88,8,1,5,0.63
高知県,8,2.67,1,0.33,3,1,0,0,0,0,0,0,1,0.33,0,0,0,0,1,0.33,2,0.67
福岡県,109,4.19,14,0.54,17,0.65,17,0.65,13,0.5,14,0.54,6,0.23,8,0.31,7,0.27,7,0.27,6,0.23
佐賀県,16,4,2,0.5,3,0.75,0,0,3,0.75,2,0.5,1,0.25,1,0.25,3,0.75,0,0,1,0.25
長崎県,78,9.75,11,1.38,16,2,7,0.88,7,0.88,7,0.88,4,0.5,6,0.75,7,0.88,5,0.63,8,1
熊本県,103,12.88,26,2.89,16,1.78,16,1.78,6,0.67,10,1.11,10,1.25,1,0.13,11,1.38,3,0.38,4,0.5
大分県,19,3.8,1,0.2,2,0.4,3,0.6,0,0,2,0.4,1,0.2,3,0.6,1,0.2,6,1.2,0,0
宮崎県,97,16.17,18,3,13,2.17,9,1.5,9,1.5,9,1.5,8,1.33,9,1.5,4,0.67,10,1.67,8,1.33
鹿児島県,108,15.43,15,2.14,10,1.43,11,1.57,10,1.43,12,1.71,11,1.57,6,0.86,15,2.14,8,1.14,10,1.43
沖縄県,121,15.13,7,0.88,21,2.63,10,1.25,12,1.5,15,1.88,8,1,8,1,13,1.63,14,1.75,13,1.63
,,,,,,,,,,,,,,,,,,,,,,
細菌性髄膜炎,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,62,0.13,7,0.01,5,0.01,9,0.02,5,0.01,6,0.01,8,0.02,2,0,6,0.01,5,0.01,9,0.02
北海道,2,0.09,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,1,0.04,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,1,0.05,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,1,0.1,0,0,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,1,0.13,0,0,0,0,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14
茨城県,1,0.08,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0
栃木県,2,0.29,1,0.14,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,2,0.22,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,0,0
埼玉県,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0
千葉県,3,0.33,1,0.11,0,0,0,0,0,0,1,0.11,0,0,1,0.11,0,0,0,0,0,0
東京都,4,0.16,0,0,0,0,3,0.12,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,2,0.17,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0,1,0.08,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,3,0.3,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0
愛知県,6,0.4,1,0.07,0,0,0,0,1,0.07,1,0.07,0,0,1,0.07,1,0.07,0,0,1,0.07
三重県,3,0.33,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,1,0.11
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,4,0.24,0,0,0,0,0,0,0,0,0,0,3,0.17,0,0,0,0,1,0.06,0,0
兵庫県,4,0.29,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0,2,0.14
奈良県,2,0.33,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17
和歌山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,2,0.4,0,0,0,0,2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,3,0.14,0,0,0,0,1,0.05,0,0,1,0.05,0,0,0,0,0,0,0,0,1,0.05
山口県,1,0.11,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,1,0.13,0,0,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,0,0,0,0
福岡県,6,0.4,0,0,1,0.07,0,0,0,0,1,0.07,1,0.07,0,0,1,0.07,0,0,2,0.13
佐賀県,2,0.33,0,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,1,0.17,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,3,0.2,0,0,1,0.07,0,0,0,0,1,0.07,1,0.07,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
無菌性髄膜炎,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,85,0.18,7,0.01,10,0.02,11,0.02,12,0.02,6,0.01,10,0.02,4,0.01,8,0.02,6,0.01,11,0.02
北海道,1,0.04,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,2,0.11,0,0,0,0,1,0.05,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0
宮城県,3,0.3,0,0,0,0,1,0.1,0,0,0,0,1,0.1,0,0,1,0.1,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,4,0.31,1,0.08,0,0,1,0.08,0,0,0,0,1,0.08,0,0,0,0,0,0,1,0.08
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,4,0.33,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,1,0.08,2,0.17,0,0
千葉県,4,0.44,0,0,0,0,1,0.11,2,0.22,0,0,1,0.11,0,0,0,0,0,0,0,0
東京都,2,0.08,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,0,0,0,0
神奈川県,6,0.5,0,0,2,0.17,1,0.08,2,0.17,0,0,0,0,0,0,0,0,0,0,1,0.08
新潟県,5,0.38,0,0,0,0,0,0,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08,0,0,0,0
富山県,2,0.4,0,0,0,0,0,0,0,0,0,0,1,0.2,1,0.2,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,2,0.33,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,1,0.17,0,0,0,0
山梨県,1,0.1,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,2,0.4,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,1,0.2
静岡県,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2
愛知県,5,0.33,0,0,1,0.07,0,0,1,0.07,0,0,0,0,0,0,1,0.07,0,0,2,0.13
三重県,3,0.33,0,0,0,0,0,0,2,0.22,0,0,0,0,0,0,1,0.11,0,0,0,0
滋賀県,3,0.43,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0,1,0.14,1,0.14,0,0
京都府,1,0.17,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,2,0.12,0,0,1,0.06,0,0,0,0,0,0,0,0,1,0.06,0,0,0,0,0,0
兵庫県,5,0.36,1,0.07,0,0,1,0.07,1,0.07,0,0,0,0,0,0,0,0,2,0.14,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,4,0.36,1,0.09,0,0,1,0.09,0,0,0,0,1,0.09,0,0,0,0,1,0.09,0,0
鳥取県,3,0.6,0,0,0,0,0,0,1,0.2,0,0,2,0.4,0,0,0,0,0,0,0,0
島根県,1,0.13,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0
岡山県,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2
広島県,1,0.05,0,0,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,1,0.2,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,2,0.13,1,0.07,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,3,0.5,1,0.17,1,0.17,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,4,0.33,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.17
熊本県,3,0.2,0,0,0,0,1,0.07,0,0,0,0,0,0,1,0.07,0,0,0,0,1,0.07
大分県,1,0.09,0,0,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,1,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,
マイコプラズマ肺炎,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,364,0.76,24,0.05,35,0.07,37,0.08,32,0.07,37,0.08,42,0.09,37,0.08,26,0.05,38,0.08,56,0.12
北海道,3,0.13,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04
青森県,26,4.33,0,0,3,0.5,0,0,6,1,1,0.17,5,0.83,3,0.5,3,0.5,2,0.33,3,0.5
岩手県,16,0.84,3,0.16,2,0.11,1,0.05,2,0.11,0,0,2,0.11,4,0.21,0,0,1,0.05,1,0.05
宮城県,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.2
秋田県,1,0.13,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,4,0.57,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0,2,0.29,1,0.14
茨城県,12,0.92,3,0.23,2,0.15,1,0.08,0,0,2,0.15,1,0.08,0,0,2,0.15,0,0,1,0.08
栃木県,6,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,2,0.29,3,0.43
群馬県,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,0,0,0,0,0,0
埼玉県,9,0.75,2,0.17,0,0,0,0,0,0,1,0.08,0,0,1,0.08,1,0.08,2,0.17,2,0.17
千葉県,4,0.44,0,0,1,0.11,0,0,0,0,2,0.22,0,0,1,0.11,0,0,0,0,0,0
東京都,15,0.6,2,0.08,1,0.04,1,0.04,3,0.12,2,0.08,3,0.12,2,0.08,0,0,1,0.04,0,0
神奈川県,11,0.92,0,0,3,0.25,1,0.08,0,0,2,0.17,1,0.08,1,0.08,1,0.08,1,0.08,1,0.08
新潟県,5,0.38,0,0,1,0.08,0,0,1,0.08,0,0,0,0,2,0.15,0,0,0,0,1,0.08
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0
福井県,32,5.33,2,0.33,3,0.5,4,0.67,4,0.67,4,0.67,2,0.33,2,0.33,2,0.33,2,0.33,7,1.17
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,3,0.6,0,0,0,0,2,0.4,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
静岡県,10,1,0,0,0,0,1,0.1,1,0.1,0,0,1,0.1,4,0.4,0,0,0,0,3,0.3
愛知県,19,1.27,0,0,2,0.13,4,0.27,1,0.07,2,0.13,1,0.07,1,0.07,1,0.07,2,0.13,5,0.33
三重県,3,0.33,0,0,1,0.11,0,0,0,0,0,0,0,0,1,0.11,0,0,1,0.11,0,0
滋賀県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14
京都府,3,0.5,0,0,0,0,1,0.14,0,0,0,0,1,0.14,0,0,0,0,0,0,1,0.14
大阪府,31,1.82,0,0,3,0.18,1,0.06,0,0,3,0.17,5,0.28,2,0.11,5,0.28,5,0.28,7,0.39
兵庫県,20,1.43,1,0.07,2,0.14,5,0.36,2,0.14,3,0.21,2,0.14,0,0,2,0.14,1,0.07,2,0.14
奈良県,4,0.67,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.5
和歌山県,6,0.55,2,0.18,0,0,0,0,1,0.09,2,0.18,1,0.09,0,0,0,0,0,0,0,0
鳥取県,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0
島根県,3,0.38,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,0,0,2,0.25,0,0
岡山県,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0
広島県,10,0.48,1,0.05,0,0,3,0.14,0,0,3,0.14,1,0.05,0,0,1,0.05,0,0,1,0.05
山口県,12,1.33,2,0.22,2,0.22,0,0,1,0.11,2,0.22,0,0,2,0.22,1,0.11,0,0,2,0.22
徳島県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0
香川県,4,0.8,0,0,0,0,1,0.2,0,0,0,0,0,0,1,0.2,0,0,1,0.2,1,0.2
愛媛県,3,0.5,0,0,1,0.17,0,0,0,0,1,0.17,0,0,0,0,0,0,1,0.17,0,0
高知県,7,0.88,0,0,0,0,0,0,0,0,0,0,4,0.5,1,0.13,0,0,1,0.13,1,0.13
福岡県,6,0.4,0,0,0,0,1,0.07,0,0,0,0,2,0.13,0,0,1,0.07,1,0.07,1,0.07
佐賀県,15,2.5,1,0.17,1,0.17,2,0.33,3,0.5,1,0.17,3,0.5,1,0.17,0,0,3,0.5,0,0
長崎県,5,0.42,1,0.08,1,0.08,0,0,1,0.08,1,0.08,0,0,0,0,1,0.08,0,0,0,0
熊本県,3,0.2,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,12,1.09,1,0.09,1,0.09,2,0.18,1,0.09,1,0.09,2,0.18,0,0,1,0.09,1,0.09,2,0.18
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,33,4.71,3,0.43,3,0.43,2,0.29,5,0.71,2,0.29,3,0.43,6,0.86,2,0.29,4,0.57,3,0.43
,,,,,,,,,,,,,,,,,,,,,,
クラミジア肺炎,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,5,0.01,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東京都,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
兵庫県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,2,0.18,0,0,1,0.09,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
