報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,
2024年08週(02月19日～02月25日),2024年02月28日作成,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
福岡県,2,0.13,1,0.07,0,0,1,0.07,0,0,0,0,0,0,0,0,0,0
佐賀県,3,0.5,1,0.17,1,0.17,1,0.17,0,0,0,0,0,0,0,0,0,0
長崎県,2,0.17,1,0.08,1,0.08,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,2,0.13,0,0,0,0,1,0.07,0,0,0,0,0,0,1,0.07,0,0
大分県,1,0.09,0,0,0,0,0,0,0,0,1,0.09,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,1,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
マイコプラズマ肺炎,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,268,0.56,24,0.05,35,0.07,37,0.08,32,0.07,37,0.08,40,0.08,37,0.08,26,0.05
北海道,2,0.09,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0
青森県,21,3.5,0,0,3,0.5,0,0,6,1,1,0.17,5,0.83,3,0.5,3,0.5
岩手県,14,0.74,3,0.16,2,0.11,1,0.05,2,0.11,0,0,2,0.11,4,0.21,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,1,0.14,0,0,1,0.13,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0,0,0
茨城県,11,0.85,3,0.23,2,0.15,1,0.08,0,0,2,0.15,1,0.08,0,0,2,0.15
栃木県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14
群馬県,1,0.11,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,0,0
埼玉県,5,0.42,2,0.17,0,0,0,0,0,0,1,0.08,0,0,1,0.08,1,0.08
千葉県,4,0.44,0,0,1,0.11,0,0,0,0,2,0.22,0,0,1,0.11,0,0
東京都,14,0.56,2,0.08,1,0.04,1,0.04,3,0.12,2,0.08,3,0.12,2,0.08,0,0
神奈川県,9,0.75,0,0,3,0.25,1,0.08,0,0,2,0.17,1,0.08,1,0.08,1,0.08
新潟県,4,0.31,0,0,1,0.08,0,0,1,0.08,0,0,0,0,2,0.15,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,23,3.83,2,0.33,3,0.5,4,0.67,4,0.67,4,0.67,2,0.33,2,0.33,2,0.33
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,3,0.6,0,0,0,0,2,0.4,0,0,0,0,0,0,1,0.2,0,0
静岡県,7,0.7,0,0,0,0,1,0.1,1,0.1,0,0,1,0.1,4,0.4,0,0
愛知県,12,0.8,0,0,2,0.13,4,0.27,1,0.07,2,0.13,1,0.07,1,0.07,1,0.07
三重県,2,0.22,0,0,1,0.11,0,0,0,0,0,0,0,0,1,0.11,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,2,0.33,0,0,0,0,1,0.14,0,0,0,0,1,0.14,0,0,0,0
大阪府,19,1.12,0,0,3,0.18,1,0.06,0,0,3,0.17,5,0.28,2,0.11,5,0.28
兵庫県,17,1.21,1,0.07,2,0.14,5,0.36,2,0.14,3,0.21,2,0.14,0,0,2,0.14
奈良県,1,0.17,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,6,0.55,2,0.18,0,0,0,0,1,0.09,2,0.18,1,0.09,0,0,0,0
鳥取県,1,0.2,0,0,0,0,0,0,0,0,1,0.2,0,0,0,0,0,0
島根県,1,0.13,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,9,0.43,1,0.05,0,0,3,0.14,0,0,3,0.14,1,0.05,0,0,1,0.05
山口県,10,1.11,2,0.22,2,0.22,0,0,1,0.11,2,0.22,0,0,2,0.22,1,0.11
徳島県,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.14
香川県,2,0.4,0,0,0,0,1,0.2,0,0,0,0,0,0,1,0.2,0,0
愛媛県,2,0.33,0,0,1,0.17,0,0,0,0,1,0.17,0,0,0,0,0,0
高知県,5,0.63,0,0,0,0,0,0,0,0,0,0,4,0.5,1,0.13,0,0
福岡県,2,0.13,0,0,0,0,1,0.07,0,0,0,0,0,0,0,0,1,0.07
佐賀県,12,2,1,0.17,1,0.17,2,0.33,3,0.5,1,0.17,3,0.5,1,0.17,0,0
長崎県,5,0.42,1,0.08,1,0.08,0,0,1,0.08,1,0.08,0,0,0,0,1,0.08
熊本県,3,0.2,0,0,0,0,3,0.2,0,0,0,0,0,0,0,0,0,0
大分県,9,0.82,1,0.09,1,0.09,2,0.18,1,0.09,1,0.09,2,0.18,0,0,1,0.09
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,26,3.71,3,0.43,3,0.43,2,0.29,5,0.71,2,0.29,3,0.43,6,0.86,2,0.29
,,,,,,,,,,,,,,,,,,
クラミジア肺炎,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,4,0.01,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0
北海道,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
埼玉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東京都,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岐阜県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
兵庫県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,2,0.18,0,0,1,0.09,1,0.09,0,0,0,0,0,0,0,0,0,0
鳥取県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
島根県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岡山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
広島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
高知県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
熊本県,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,1,0.07,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
感染性胃腸炎（ロタウイルス）,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,45,0.09,3,0.01,1,0,5,0.01,12,0.03,6,0.01,9,0.02,7,0.01,2,0
北海道,5,0.22,0,0,0,0,0,0,0,0,0,0,3,0.13,2,0.09,0,0
青森県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
岩手県,1,0.05,1,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
秋田県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山形県,2,0.2,2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福島県,1,0.14,0,0,0,0,0,0,1,0.14,0,0,0,0,0,0,0,0
茨城県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
栃木県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
群馬県,2,0.22,0,0,0,0,0,0,0,0,0,0,1,0.11,0,0,1,0.11
埼玉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
千葉県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東京都,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
神奈川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新潟県,14,1.08,0,0,0,0,1,0.08,6,0.46,3,0.23,2,0.15,2,0.15,0,0
富山県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
福井県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
山梨県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,1,0.08,0,0,0,0,1,0.08,0,0,0,0,0,0,0,0,0,0
岐阜県,1,0.2,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,0,0
静岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛知県,2,0.13,0,0,0,0,1,0.07,1,0.07,0,0,0,0,0,0,0,0
三重県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
滋賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
京都府,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大阪府,1,0.06,0,0,0,0,1,0.06,0,0,0,0,0,0,0,0,0,0
兵庫県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
奈良県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
和歌山県,1,0.09,0,0,0,0,0,0,0,0,0,0,0,0,1,0.09,0,0
鳥取県,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2,0,0
島根県,1,0.13,0,0,0,0,0,0,0,0,1,0.13,0,0,0,0,0,0
岡山県,4,0.8,0,0,0,0,0,0,3,0.6,1,0.2,0,0,0,0,0,0
広島県,3,0.14,0,0,0,0,0,0,0,0,1,0.05,1,0.05,1,0.05,0,0
山口県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
徳島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
香川県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
愛媛県,1,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.17
高知県,3,0.38,0,0,1,0.13,0,0,1,0.13,0,0,1,0.13,0,0,0,0
福岡県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佐賀県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長崎県,1,0.08,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0,0
熊本県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大分県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
宮崎県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鹿児島県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沖縄県,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,
COVID-19,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,448325,91.09,34204,6.98,44189,8.96,60280,12.22,73185,14.99,79676,16.15,67826,13.76,49841,10.1,39124,7.92
北海道,21234,94.79,2317,10.58,2369,10.53,2424,10.77,3091,13.74,3465,15.4,3363,14.95,2319,10.31,1886,8.38
青森県,3998,68.93,353,5.98,322,5.46,376,6.37,488,8.27,634,10.75,625,10.78,643,10.9,557,9.44
岩手県,6312,105.2,481,7.89,631,10.34,667,10.93,1026,16.82,985,16.15,1084,18.07,744,12.4,694,11.57
宮城県,9983,109.7,494,5.43,720,7.91,1166,12.81,1709,18.78,1748,19.21,1731,19.02,1320,14.51,1095,12.03
秋田県,3130,71.14,350,7.14,319,6.25,397,7.78,0,0,553,10.84,559,10.96,478,9.37,474,9.29
山形県,3982,92.6,193,4.49,292,6.79,466,10.84,647,15.05,681,15.84,674,15.67,549,12.77,480,11.16
福島県,10974,133.83,926,11.29,992,12.1,1557,18.99,1963,23.94,2008,24.49,1573,19.18,1111,13.55,844,10.29
茨城県,16218,135.15,1472,12.27,1691,14.09,2199,18.33,2538,21.15,2695,22.46,2364,19.7,1855,15.46,1404,11.7
栃木県,8875,116.78,480,6.32,790,10.39,1265,16.64,1597,21.01,1557,20.49,1338,17.61,1058,13.92,790,10.39
群馬県,9553,113.73,525,6.18,741,8.72,1265,14.88,1756,20.66,1848,21.74,1679,19.75,1000,11.76,739,8.8
埼玉県,26409,101.97,1661,6.51,2416,9.26,3756,14.39,4990,19.12,4773,18.29,3855,14.83,2789,10.73,2169,8.34
千葉県,23304,115.37,1516,7.5,2317,11.41,3238,16.03,4196,20.88,4435,21.74,3303,16.43,2519,12.47,1780,8.81
東京都,25488,61.71,1366,3.37,2339,5.65,3448,8.33,4667,11.27,4713,11.38,3887,9.37,2865,6.9,2203,5.3
神奈川県,26072,71.63,1187,3.3,2190,6.05,3490,9.59,4960,13.55,5306,14.62,3998,10.98,2703,7.39,2238,6.1
新潟県,8470,98.49,483,5.62,572,6.65,867,10.08,1276,14.84,1627,18.92,1589,18.48,1087,12.64,969,11.27
富山県,4337,90.35,315,6.56,379,7.9,569,11.85,802,16.71,773,16.1,693,14.44,460,9.58,346,7.21
石川県,5850,130,371,8.43,461,10.48,645,14.33,962,20.91,1128,24.52,1008,21.91,743,15.48,532,11.08
福井県,2741,70.28,127,3.26,168,4.31,300,7.69,443,11.36,503,12.9,551,14.13,389,9.97,260,6.67
山梨県,4503,109.83,331,8.07,527,12.85,606,14.78,737,17.98,743,18.12,656,16,526,12.83,377,9.2
長野県,11202,127.3,1110,12.61,1236,14.05,1392,15.82,1849,21.01,1947,22.13,1537,17.47,1244,14.14,887,10.08
岐阜県,10674,122.69,1325,15.23,1243,14.29,1405,16.15,1418,16.3,1538,17.68,1479,17,1319,15.16,947,10.89
静岡県,16061,115.55,1082,7.78,1577,11.35,2128,15.31,2660,19.14,2987,21.49,2455,17.66,1770,12.73,1402,10.09
愛知県,25858,132.61,2418,12.4,2763,14.17,3379,17.33,4142,21.24,4398,22.55,3918,20.09,2736,14.03,2104,10.79
三重県,7392,102.67,490,6.81,714,9.92,1135,15.76,1195,16.6,1349,18.74,1155,16.04,753,10.46,601,8.35
滋賀県,4290,72.71,413,7,456,7.6,537,9.1,609,10.32,680,11.33,667,11.12,503,8.38,425,7.08
京都府,8804,71,742,6.08,991,7.93,1187,9.57,1343,10.83,1526,12.31,1310,10.56,877,7.02,828,6.62
大阪府,17350,56.7,1458,4.76,1894,6.19,2441,7.98,2725,8.91,2863,9.36,2471,8.05,1958,6.38,1540,5.02
兵庫県,12385,62.55,964,4.87,1303,6.58,1821,9.2,2091,10.56,2177,10.99,1810,9.14,1196,6.04,1023,5.17
奈良県,4549,84.24,295,5.36,452,8.22,583,10.6,674,12.25,765,13.91,784,14.25,575,10.65,421,7.8
和歌山県,4130,84.29,295,6.02,397,8.1,604,12.33,660,13.47,799,16.31,626,12.78,404,8.24,345,7.04
鳥取県,2526,87.1,260,8.97,239,8.24,356,12.28,322,11.1,350,12.07,416,14.34,310,10.69,273,9.41
島根県,2536,66.74,218,5.74,233,6.13,347,9.13,324,8.53,440,11.58,382,10.05,310,8.16,282,7.42
岡山県,7019,83.56,623,7.42,728,8.67,955,11.37,1005,11.96,1130,13.45,1000,11.9,862,10.26,716,8.52
広島県,10090,90.09,682,6.04,919,8.21,1291,11.42,1598,14.14,1944,17.36,1751,15.77,1056,9.43,849,7.51
山口県,5972,89.13,379,5.66,577,8.61,922,13.76,1098,16.39,1059,15.81,858,12.81,618,9.22,461,6.88
徳島県,3774,102,346,9.35,437,11.81,563,15.22,604,16.32,563,15.22,539,14.57,402,10.86,320,8.65
香川県,4509,95.94,381,8.11,400,8.51,641,13.64,781,16.62,829,17.64,633,13.47,508,10.81,336,7.15
愛媛県,6603,110.05,374,6.34,624,10.23,852,13.97,1064,17.44,1301,21.33,1106,18.13,782,12.82,500,8.2
高知県,3945,89.66,328,7.45,483,10.98,614,13.95,598,13.59,677,15.39,464,10.55,440,10,341,7.75
福岡県,15740,79.49,1515,7.65,1630,8.23,2070,10.45,2277,11.5,2765,13.96,2336,11.8,1817,9.18,1330,6.72
佐賀県,4284,109.85,330,8.46,539,13.82,665,17.05,606,15.54,768,19.69,570,14.62,416,10.67,390,10
長崎県,6125,88.77,528,7.54,763,10.9,908,12.97,841,12.01,1036,14.8,857,12.24,691,9.87,501,7.26
熊本県,8593,107.41,867,10.84,1029,12.86,1286,16.08,1373,17.16,1538,19.23,1118,13.98,761,9.51,621,7.76
大分県,6598,113.76,639,11.02,697,12.02,995,17.16,1092,18.83,1115,19.22,956,16.48,655,11.29,449,7.74
宮崎県,5834,100.59,432,7.45,646,11.14,932,16.07,974,16.79,1038,17.9,786,13.55,559,9.64,467,8.05
鹿児島県,7101,79.79,504,5.66,632,7.1,1149,12.91,1018,11.44,1436,16.13,967,10.87,790,8.88,605,6.8
沖縄県,2948,54.59,258,4.78,351,6.5,421,7.8,396,7.33,483,8.94,345,6.39,371,6.87,323,5.98
