報告数・定点当り報告数、疾病・週・都道府県・性別（１週から当該週までの報告数・定点当たり報告数とそれらの累積）(総数),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024年15週(04月08日～04月14日),2024年04月17日作成,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
インフルエンザ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,9549,3.05,358,0.12,643,0.21,655,0.21,638,0.2,631,0.2,578,0.18,592,0.19,591,0.19,665,0.21,634,0.2,703,0.22,657,0.21,706,0.23,714,0.23,784,0.25
北海道,212,1.54,9,0.07,14,0.1,15,0.11,17,0.12,12,0.09,13,0.09,13,0.09,24,0.17,14,0.1,11,0.08,12,0.09,14,0.1,13,0.09,10,0.07,21,0.15
青森県,122,3.3,5,0.14,4,0.11,6,0.16,8,0.22,9,0.24,14,0.38,15,0.41,11,0.3,6,0.16,8,0.22,6,0.16,10,0.27,3,0.08,7,0.19,10,0.27
岩手県,176,4.63,8,0.21,15,0.38,9,0.23,13,0.33,11,0.28,19,0.5,13,0.34,10,0.26,8,0.21,12,0.31,10,0.26,14,0.36,9,0.23,10,0.25,15,0.38
宮城県,190,3.52,9,0.16,19,0.35,8,0.15,11,0.2,21,0.38,14,0.25,17,0.31,10,0.18,2,0.04,5,0.09,15,0.27,16,0.29,15,0.27,16,0.3,12,0.23
秋田県,63,1.91,1,0.03,8,0.24,6,0.18,5,0.15,5,0.15,2,0.06,2,0.06,3,0.09,2,0.06,5,0.15,3,0.09,3,0.09,9,0.27,6,0.18,3,0.09
山形県,133,4.75,6,0.21,7,0.25,14,0.5,11,0.39,11,0.39,6,0.21,9,0.32,5,0.18,13,0.46,11,0.39,3,0.11,9,0.32,10,0.36,10,0.36,8,0.29
福島県,216,4.41,7,0.14,14,0.29,12,0.24,17,0.35,14,0.29,18,0.37,8,0.16,22,0.45,11,0.22,14,0.29,19,0.39,13,0.27,11,0.22,17,0.35,19,0.39
茨城県,98,1.31,4,0.05,7,0.09,8,0.11,3,0.04,4,0.05,6,0.08,3,0.04,9,0.12,9,0.12,5,0.07,7,0.09,9,0.12,6,0.08,7,0.09,11,0.15
栃木県,161,3.35,6,0.13,13,0.27,9,0.19,13,0.27,11,0.23,8,0.17,8,0.17,7,0.15,13,0.27,12,0.25,13,0.27,10,0.21,13,0.27,9,0.19,16,0.33
群馬県,198,3.74,6,0.11,9,0.17,9,0.17,16,0.3,18,0.34,12,0.23,13,0.25,13,0.25,16,0.3,11,0.21,11,0.21,16,0.3,13,0.25,19,0.36,16,0.3
埼玉県,485,2.98,21,0.13,28,0.17,43,0.26,34,0.21,29,0.18,30,0.18,23,0.14,30,0.18,37,0.23,29,0.18,42,0.26,28,0.17,38,0.23,44,0.27,29,0.18
千葉県,360,2.88,15,0.12,22,0.17,15,0.12,32,0.26,31,0.24,21,0.17,16,0.13,31,0.25,28,0.22,33,0.26,23,0.18,18,0.14,23,0.18,28,0.22,24,0.19
東京都,842,3.23,25,0.1,63,0.24,62,0.24,55,0.21,65,0.25,43,0.16,57,0.22,41,0.16,53,0.2,58,0.22,64,0.24,64,0.24,51,0.19,62,0.24,79,0.3
神奈川県,601,2.62,14,0.06,41,0.18,44,0.19,36,0.16,42,0.19,38,0.16,28,0.12,42,0.18,39,0.17,40,0.17,45,0.2,46,0.2,46,0.2,41,0.18,59,0.26
新潟県,159,2.89,7,0.13,14,0.25,11,0.2,9,0.16,11,0.2,15,0.27,11,0.2,14,0.25,12,0.22,11,0.2,4,0.07,11,0.2,5,0.09,10,0.18,14,0.25
富山県,74,2.64,1,0.03,7,0.24,3,0.1,6,0.21,5,0.17,6,0.21,3,0.1,7,0.24,5,0.17,8,0.28,4,0.14,4,0.14,5,0.17,4,0.14,6,0.21
石川県,76,2.71,4,0.15,5,0.19,9,0.33,2,0.07,3,0.11,4,0.14,6,0.21,1,0.03,6,0.21,6,0.21,6,0.21,7,0.24,6,0.21,5,0.17,6,0.21
福井県,76,3.04,5,0.2,8,0.32,1,0.04,7,0.28,1,0.04,5,0.2,4,0.16,6,0.24,6,0.24,4,0.16,8,0.32,5,0.2,4,0.16,8,0.32,4,0.16
山梨県,72,3,2,0.08,5,0.21,8,0.33,6,0.25,3,0.13,4,0.17,5,0.21,3,0.13,6,0.25,8,0.33,4,0.17,4,0.17,5,0.21,6,0.25,3,0.13
長野県,106,1.96,7,0.13,7,0.13,8,0.15,5,0.09,8,0.15,2,0.04,8,0.15,7,0.13,8,0.15,5,0.09,8,0.15,8,0.15,11,0.2,7,0.13,7,0.13
岐阜県,159,3,4,0.08,10,0.19,20,0.38,12,0.23,9,0.17,12,0.23,13,0.25,10,0.19,6,0.11,10,0.19,17,0.32,8,0.15,10,0.19,7,0.13,11,0.21
静岡県,271,3.04,6,0.07,20,0.22,12,0.13,19,0.21,15,0.17,17,0.19,17,0.19,12,0.13,24,0.27,22,0.25,21,0.24,22,0.25,24,0.27,23,0.26,17,0.19
愛知県,390,2.14,14,0.08,21,0.12,28,0.15,19,0.1,23,0.13,20,0.11,29,0.16,26,0.14,26,0.14,33,0.18,30,0.16,36,0.2,23,0.13,34,0.19,28,0.15
三重県,133,2.96,5,0.11,8,0.18,9,0.2,8,0.18,12,0.27,9,0.2,8,0.18,4,0.09,11,0.24,7,0.16,13,0.29,7,0.16,14,0.31,11,0.24,7,0.16
滋賀県,78,2.23,2,0.06,6,0.17,8,0.23,3,0.09,6,0.17,3,0.08,5,0.14,5,0.14,8,0.22,7,0.19,4,0.11,7,0.19,4,0.11,3,0.08,7,0.19
京都府,161,2.15,1,0.01,8,0.11,10,0.13,8,0.11,10,0.13,12,0.16,9,0.12,12,0.16,11,0.14,6,0.08,11,0.14,8,0.11,19,0.25,13,0.17,23,0.3
大阪府,520,2.64,19,0.1,36,0.18,32,0.16,31,0.16,30,0.15,28,0.14,39,0.2,32,0.16,44,0.22,30,0.15,38,0.19,31,0.16,31,0.16,45,0.23,54,0.28
兵庫県,352,2.75,13,0.1,27,0.21,31,0.24,19,0.15,13,0.1,13,0.1,15,0.12,26,0.2,27,0.21,23,0.18,24,0.19,26,0.2,27,0.21,35,0.27,33,0.26
奈良県,94,2.85,7,0.21,5,0.15,9,0.26,5,0.15,3,0.09,7,0.21,9,0.27,9,0.27,8,0.24,7,0.21,5,0.15,4,0.12,7,0.21,3,0.09,6,0.18
和歌山県,86,2.87,6,0.2,5,0.17,4,0.13,9,0.3,2,0.07,2,0.07,2,0.07,5,0.17,8,0.27,4,0.13,11,0.37,6,0.2,8,0.27,9,0.3,5,0.17
鳥取県,55,2.89,1,0.05,2,0.11,4,0.21,2,0.11,4,0.21,3,0.16,8,0.42,3,0.16,7,0.37,3,0.16,4,0.21,3,0.16,2,0.11,2,0.11,7,0.37
島根県,107,4.65,3,0.13,10,0.43,6,0.26,8,0.35,1,0.04,4,0.17,5,0.22,3,0.13,13,0.57,5,0.22,14,0.61,7,0.3,8,0.35,11,0.48,9,0.39
岡山県,135,2.5,4,0.07,16,0.3,11,0.2,8,0.15,8,0.15,8,0.15,13,0.24,6,0.11,12,0.22,6,0.11,7,0.13,7,0.13,10,0.19,12,0.22,7,0.13
広島県,190,2.75,8,0.11,10,0.14,15,0.21,16,0.23,13,0.19,10,0.15,4,0.06,11,0.16,13,0.19,11,0.16,14,0.2,14,0.2,21,0.3,15,0.22,15,0.22
山口県,186,4.33,7,0.16,11,0.26,12,0.28,8,0.19,12,0.28,12,0.28,15,0.35,8,0.19,14,0.33,15,0.35,10,0.23,16,0.37,16,0.37,10,0.23,20,0.47
徳島県,84,3.65,3,0.13,4,0.17,4,0.17,7,0.3,6,0.26,4,0.17,6,0.26,7,0.3,1,0.04,8,0.35,6,0.26,6,0.26,7,0.3,8,0.35,7,0.3
香川県,93,3.32,2,0.07,4,0.14,6,0.21,5,0.18,8,0.29,5,0.18,3,0.11,4,0.14,5,0.18,6,0.21,11,0.39,8,0.29,8,0.29,8,0.29,10,0.36
愛媛県,165,4.58,6,0.17,12,0.32,12,0.32,10,0.27,16,0.43,12,0.32,13,0.35,9,0.24,13,0.35,5,0.14,15,0.41,9,0.24,13,0.35,11,0.3,9,0.24
高知県,68,2.72,1,0.04,4,0.15,4,0.15,6,0.23,5,0.19,7,0.27,3,0.12,5,0.19,4,0.15,4,0.15,8,0.31,5,0.19,6,0.24,4,0.16,2,0.08
福岡県,558,4.65,26,0.22,41,0.34,36,0.3,37,0.31,39,0.33,34,0.28,35,0.29,31,0.26,29,0.24,38,0.32,44,0.37,38,0.32,42,0.35,40,0.33,48,0.4
佐賀県,133,5.78,3,0.13,9,0.39,11,0.48,7,0.3,6,0.26,7,0.3,6,0.26,9,0.39,11,0.48,8,0.35,14,0.61,15,0.65,10,0.43,9,0.39,8,0.35
長崎県,154,3.58,7,0.16,6,0.14,5,0.11,13,0.3,13,0.3,8,0.18,10,0.23,12,0.28,6,0.14,15,0.35,13,0.3,12,0.28,11,0.26,10,0.23,13,0.3
熊本県,288,5.76,12,0.24,26,0.52,21,0.42,25,0.5,25,0.5,19,0.38,19,0.38,12,0.24,18,0.36,11,0.22,14,0.28,16,0.32,25,0.5,21,0.42,24,0.48
大分県,225,6.25,11,0.31,16,0.44,14,0.39,17,0.47,13,0.36,15,0.42,12,0.33,12,0.33,18,0.5,16,0.44,13,0.36,17,0.47,18,0.5,17,0.47,16,0.44
宮崎県,186,5.17,13,0.36,6,0.17,11,0.31,12,0.33,10,0.28,10,0.28,13,0.36,10,0.28,16,0.44,14,0.39,13,0.36,11,0.31,23,0.64,10,0.28,14,0.39
鹿児島県,201,4.02,7,0.14,7,0.14,19,0.37,12,0.24,12,0.24,15,0.29,15,0.29,9,0.18,15,0.29,17,0.33,18,0.35,6,0.12,17,0.33,13,0.26,19,0.37
沖縄県,57,1.9,5,0.16,3,0.1,1,0.03,6,0.19,3,0.1,2,0.06,4,0.13,3,0.1,3,0.1,7,0.23,4,0.13,3,0.1,6,0.19,4,0.13,3,0.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ヘルパンギーナ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1252,0.4,66,0.02,75,0.02,93,0.03,92,0.03,84,0.03,64,0.02,53,0.02,93,0.03,103,0.03,81,0.03,63,0.02,70,0.02,77,0.02,97,0.03,141,0.05
北海道,17,0.12,1,0.01,1,0.01,1,0.01,3,0.02,0,0,0,0,0,0,4,0.03,5,0.04,1,0.01,0,0,0,0,0,0,1,0.01,0,0
青森県,8,0.22,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0,1,0.03,0,0,0,0,2,0.05,0,0,0,0,0,0,2,0.05
岩手県,15,0.39,0,0,3,0.08,6,0.15,1,0.03,0,0,0,0,0,0,0,0,0,0,2,0.05,2,0.05,0,0,0,0,1,0.03,0,0
宮城県,7,0.13,0,0,1,0.02,0,0,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0,3,0.05,0,0,0,0,0,0
秋田県,9,0.27,0,0,1,0.03,1,0.03,0,0,0,0,0,0,2,0.06,0,0,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,2,0.06
山形県,20,0.71,0,0,1,0.04,0,0,1,0.04,0,0,0,0,4,0.14,4,0.14,7,0.25,2,0.07,0,0,1,0.04,0,0,0,0,0,0
福島県,2,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,1,0.02,0,0,0,0
茨城県,37,0.49,3,0.04,3,0.04,5,0.07,3,0.04,2,0.03,2,0.03,0,0,1,0.01,4,0.05,4,0.05,1,0.01,1,0.01,2,0.03,3,0.04,3,0.04
栃木県,8,0.17,1,0.02,0,0,0,0,1,0.02,0,0,0,0,0,0,2,0.04,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02
群馬県,36,0.68,0,0,0,0,4,0.08,1,0.02,1,0.02,1,0.02,0,0,2,0.04,5,0.09,2,0.04,2,0.04,2,0.04,3,0.06,7,0.13,6,0.11
埼玉県,32,0.2,2,0.01,4,0.02,2,0.01,1,0.01,3,0.02,2,0.01,0,0,1,0.01,4,0.02,1,0.01,0,0,2,0.01,1,0.01,5,0.03,4,0.02
千葉県,21,0.17,1,0.01,0,0,1,0.01,1,0.01,0,0,3,0.02,0,0,2,0.02,1,0.01,1,0.01,0,0,0,0,2,0.02,3,0.02,6,0.05
東京都,42,0.16,2,0.01,4,0.02,3,0.01,1,0,2,0.01,1,0,4,0.02,1,0,4,0.02,3,0.01,3,0.01,2,0.01,5,0.02,3,0.01,4,0.02
神奈川県,64,0.28,2,0.01,5,0.02,4,0.02,4,0.02,10,0.04,7,0.03,1,0,2,0.01,3,0.01,5,0.02,2,0.01,3,0.01,0,0,9,0.04,7,0.03
新潟県,13,0.24,1,0.02,1,0.02,1,0.02,1,0.02,1,0.02,0,0,0,0,1,0.02,1,0.02,1,0.02,0,0,1,0.02,2,0.04,0,0,2,0.04
富山県,40,1.43,5,0.17,5,0.17,5,0.17,4,0.14,2,0.07,2,0.07,2,0.07,4,0.14,4,0.14,0,0,0,0,3,0.1,0,0,4,0.14,0,0
石川県,6,0.21,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0,0,0
福井県,9,0.36,1,0.04,0,0,0,0,2,0.08,0,0,0,0,0,0,0,0,1,0.04,1,0.04,3,0.12,0,0,0,0,0,0,1,0.04
山梨県,2,0.08,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0
長野県,13,0.24,1,0.02,0,0,4,0.07,0,0,0,0,1,0.02,0,0,0,0,3,0.06,0,0,1,0.02,1,0.02,0,0,1,0.02,1,0.02
岐阜県,13,0.25,0,0,1,0.02,2,0.04,0,0,1,0.02,0,0,3,0.06,2,0.04,0,0,1,0.02,0,0,2,0.04,1,0.02,0,0,0,0
静岡県,13,0.15,2,0.02,1,0.01,1,0.01,0,0,0,0,1,0.01,1,0.01,0,0,0,0,1,0.01,1,0.01,1,0.01,0,0,2,0.02,2,0.02
愛知県,18,0.1,1,0.01,0,0,2,0.01,2,0.01,1,0.01,1,0.01,0,0,1,0.01,3,0.02,2,0.01,1,0.01,0,0,1,0.01,3,0.02,0,0
三重県,25,0.56,1,0.02,0,0,0,0,1,0.02,4,0.09,0,0,1,0.02,2,0.04,0,0,0,0,2,0.04,2,0.04,5,0.11,2,0.04,5,0.11
滋賀県,14,0.4,0,0,1,0.03,0,0,1,0.03,3,0.08,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,3,0.08,2,0.06,1,0.03,0,0
京都府,32,0.43,0,0,0,0,3,0.04,4,0.05,1,0.01,3,0.04,0,0,3,0.04,3,0.04,2,0.03,1,0.01,3,0.04,3,0.04,2,0.03,4,0.05
大阪府,152,0.77,15,0.08,3,0.02,9,0.05,15,0.08,10,0.05,11,0.06,14,0.07,17,0.09,10,0.05,4,0.02,8,0.04,5,0.03,6,0.03,9,0.05,16,0.08
兵庫県,75,0.59,5,0.04,2,0.02,6,0.05,4,0.03,10,0.08,1,0.01,3,0.02,3,0.02,9,0.07,5,0.04,6,0.05,4,0.03,4,0.03,3,0.02,10,0.08
奈良県,16,0.48,0,0,6,0.18,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,2,0.06,0,0,0,0,0,0,0,0,1,0.03,4,0.12
和歌山県,11,0.37,0,0,2,0.07,0,0,2,0.07,0,0,0,0,0,0,1,0.03,3,0.1,0,0,0,0,2,0.07,0,0,0,0,1,0.03
鳥取県,4,0.21,0,0,0,0,0,0,0,0,0,0,1,0.05,0,0,0,0,0,0,1,0.05,1,0.05,0,0,0,0,1,0.05,0,0
島根県,16,0.7,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,4,0.17,4,0.17,3,0.13,0,0,1,0.04,2,0.09
岡山県,10,0.19,1,0.02,0,0,0,0,0,0,1,0.02,0,0,2,0.04,0,0,1,0.02,2,0.04,0,0,0,0,0,0,3,0.06,0,0
広島県,19,0.28,0,0,1,0.01,2,0.03,2,0.03,1,0.01,1,0.01,0,0,2,0.03,1,0.01,1,0.01,1,0.01,1,0.01,1,0.01,1,0.01,4,0.06
山口県,7,0.16,0,0,1,0.02,1,0.02,0,0,1,0.02,0,0,0,0,0,0,0,0,2,0.05,0,0,0,0,2,0.05,0,0,0,0
徳島県,21,0.91,2,0.09,1,0.04,0,0,0,0,0,0,0,0,0,0,3,0.13,1,0.04,4,0.17,5,0.22,1,0.04,0,0,1,0.04,3,0.13
香川県,25,0.89,0,0,2,0.07,3,0.11,2,0.07,3,0.11,1,0.04,1,0.04,3,0.11,1,0.04,1,0.04,1,0.04,3,0.11,1,0.04,2,0.07,1,0.04
愛媛県,95,2.64,2,0.06,6,0.16,6,0.16,6,0.16,11,0.3,4,0.11,3,0.08,5,0.14,7,0.19,5,0.14,5,0.14,2,0.05,11,0.3,6,0.16,16,0.43
高知県,37,1.48,0,0,1,0.04,4,0.15,3,0.12,4,0.15,0,0,2,0.08,5,0.19,2,0.08,2,0.08,2,0.08,6,0.23,4,0.16,1,0.04,1,0.04
福岡県,49,0.41,1,0.01,3,0.03,3,0.03,4,0.03,4,0.03,3,0.03,0,0,1,0.01,0,0,2,0.02,1,0.01,1,0.01,3,0.03,9,0.08,14,0.12
佐賀県,6,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.09,1,0.04,1,0.04,0,0,0,0,1,0.04,1,0.04,0,0
長崎県,11,0.26,0,0,1,0.02,0,0,2,0.05,0,0,3,0.07,0,0,1,0.02,0,0,3,0.07,1,0.02,0,0,0,0,0,0,0,0
熊本県,33,0.66,3,0.06,3,0.06,7,0.14,7,0.14,1,0.02,1,0.02,4,0.08,0,0,0,0,0,0,2,0.04,0,0,2,0.04,1,0.02,2,0.04
大分県,41,1.14,3,0.08,0,0,0,0,3,0.08,3,0.08,3,0.08,2,0.06,5,0.14,6,0.17,2,0.06,1,0.03,1,0.03,5,0.14,0,0,7,0.19
宮崎県,16,0.44,1,0.03,1,0.03,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,3,0.08,2,0.06,1,0.03,3,0.08,1,0.03,2,0.06
鹿児島県,69,1.38,5,0.1,8,0.16,3,0.06,5,0.1,3,0.06,6,0.12,2,0.04,9,0.18,6,0.12,5,0.1,1,0.02,4,0.08,2,0.04,6,0.12,4,0.08
沖縄県,23,0.77,2,0.06,0,0,1,0.03,1,0.03,0,0,2,0.06,0,0,2,0.06,0,0,2,0.06,0,0,4,0.13,3,0.1,2,0.07,4,0.13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流行性耳下腺炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,総数,総数,01週,01週,02週,02週,03週,03週,04週,04週,05週,05週,06週,06週,07週,07週,08週,08週,09週,09週,10週,10週,11週,11週,12週,12週,13週,13週,14週,14週,15週,15週
,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当,報告,定当
総数,1262,0.4,43,0.01,83,0.03,100,0.03,96,0.03,91,0.03,72,0.02,90,0.03,88,0.03,85,0.03,79,0.03,79,0.03,79,0.03,81,0.03,110,0.04,86,0.03
北海道,37,0.27,0,0,2,0.01,2,0.01,3,0.02,4,0.03,3,0.02,4,0.03,1,0.01,3,0.02,3,0.02,4,0.03,5,0.04,1,0.01,1,0.01,1,0.01
青森県,10,0.27,0,0,1,0.03,0,0,1,0.03,1,0.03,0,0,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,0,0,0,0,0,0,2,0.05
岩手県,26,0.68,0,0,2,0.05,6,0.15,0,0,2,0.05,2,0.05,3,0.08,1,0.03,1,0.03,1,0.03,0,0,2,0.05,3,0.08,2,0.05,1,0.03
宮城県,24,0.44,1,0.02,2,0.04,1,0.02,0,0,2,0.04,3,0.05,3,0.05,1,0.02,0,0,1,0.02,2,0.04,3,0.05,1,0.02,1,0.02,3,0.06
秋田県,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,0,0
山形県,8,0.29,0,0,0,0,0,0,2,0.07,0,0,1,0.04,1,0.04,0,0,1,0.04,0,0,1,0.04,0,0,0,0,1,0.04,1,0.04
福島県,9,0.18,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0,1,0.02,0,0,1,0.02,1,0.02,1,0.02,0,0,0,0,1,0.02,1,0.02
茨城県,25,0.33,1,0.01,0,0,2,0.03,1,0.01,0,0,2,0.03,5,0.07,2,0.03,2,0.03,3,0.04,1,0.01,0,0,2,0.03,1,0.01,3,0.04
栃木県,18,0.38,2,0.04,0,0,0,0,0,0,2,0.04,2,0.04,2,0.04,2,0.04,0,0,4,0.08,0,0,0,0,0,0,3,0.06,1,0.02
群馬県,30,0.57,0,0,3,0.06,3,0.06,5,0.09,2,0.04,0,0,1,0.02,2,0.04,1,0.02,1,0.02,4,0.08,2,0.04,2,0.04,1,0.02,3,0.06
埼玉県,112,0.69,7,0.04,7,0.04,10,0.06,12,0.07,8,0.05,6,0.04,6,0.04,10,0.06,3,0.02,4,0.02,6,0.04,9,0.05,6,0.04,12,0.07,6,0.04
千葉県,56,0.45,5,0.04,4,0.03,2,0.02,7,0.06,4,0.03,2,0.02,3,0.02,7,0.06,3,0.02,1,0.01,4,0.03,3,0.02,2,0.02,5,0.04,4,0.03
東京都,169,0.65,0,0,16,0.06,15,0.06,10,0.04,13,0.05,13,0.05,10,0.04,8,0.03,14,0.05,12,0.05,13,0.05,10,0.04,9,0.03,15,0.06,11,0.04
神奈川県,99,0.43,0,0,5,0.02,9,0.04,11,0.05,9,0.04,2,0.01,8,0.03,4,0.02,9,0.04,7,0.03,4,0.02,3,0.01,10,0.04,7,0.03,11,0.05
新潟県,23,0.42,1,0.02,1,0.02,2,0.04,1,0.02,0,0,0,0,2,0.04,4,0.07,2,0.04,1,0.02,3,0.05,2,0.04,2,0.04,0,0,2,0.04
富山県,5,0.18,1,0.03,1,0.03,0,0,0,0,0,0,0,0,2,0.07,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,5,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.07,2,0.07,0,0,1,0.03,0,0,0,0
福井県,4,0.16,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,1,0.04,0,0
山梨県,4,0.17,0,0,0,0,0,0,0,0,0,0,0,0,3,0.13,1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
長野県,17,0.31,0,0,1,0.02,0,0,0,0,0,0,1,0.02,2,0.04,0,0,0,0,3,0.06,3,0.06,2,0.04,3,0.06,0,0,2,0.04
岐阜県,15,0.28,1,0.02,1,0.02,3,0.06,0,0,0,0,0,0,0,0,1,0.02,1,0.02,0,0,1,0.02,5,0.09,1,0.02,1,0.02,0,0
静岡県,60,0.67,2,0.02,2,0.02,1,0.01,3,0.03,6,0.07,8,0.09,4,0.04,7,0.08,4,0.04,5,0.06,5,0.06,3,0.03,5,0.06,4,0.04,1,0.01
愛知県,65,0.36,3,0.02,2,0.01,4,0.02,7,0.04,2,0.01,5,0.03,1,0.01,2,0.01,5,0.03,8,0.04,7,0.04,2,0.01,6,0.03,7,0.04,4,0.02
三重県,8,0.18,0,0,0,0,1,0.02,0,0,0,0,1,0.02,0,0,3,0.07,1,0.02,0,0,0,0,1,0.02,0,0,0,0,1,0.02
滋賀県,9,0.26,1,0.03,0,0,1,0.03,0,0,1,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03,2,0.06,3,0.08,0,0
京都府,24,0.32,1,0.01,3,0.04,2,0.03,1,0.01,3,0.04,0,0,4,0.05,1,0.01,3,0.04,1,0.01,0,0,1,0.01,1,0.01,1,0.01,2,0.03
大阪府,70,0.36,4,0.02,3,0.02,5,0.03,6,0.03,5,0.03,3,0.02,6,0.03,3,0.02,10,0.05,4,0.02,4,0.02,5,0.03,2,0.01,5,0.03,5,0.03
兵庫県,50,0.39,1,0.01,5,0.04,5,0.04,2,0.02,5,0.04,2,0.02,5,0.04,4,0.03,7,0.05,3,0.02,1,0.01,3,0.02,3,0.02,2,0.02,2,0.02
奈良県,5,0.15,0,0,0,0,0,0,1,0.03,2,0.06,0,0,0,0,1,0.03,0,0,0,0,1,0.03,0,0,0,0,0,0,0,0
和歌山県,12,0.4,0,0,1,0.03,0,0,1,0.03,2,0.07,1,0.03,0,0,1,0.03,2,0.07,0,0,1,0.03,1,0.03,0,0,1,0.03,1,0.03
鳥取県,6,0.32,0,0,0,0,0,0,1,0.05,0,0,0,0,1,0.05,1,0.05,2,0.11,0,0,0,0,1,0.05,0,0,0,0,0,0
島根県,10,0.43,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0,1,0.04,1,0.04,0,0,0,0,0,0,2,0.09,3,0.13,1,0.04
岡山県,20,0.37,2,0.04,1,0.02,3,0.06,1,0.02,0,0,1,0.02,1,0.02,2,0.04,1,0.02,2,0.04,1,0.02,0,0,0,0,4,0.07,1,0.02
広島県,16,0.23,1,0.01,1,0.01,0,0,2,0.03,1,0.01,1,0.01,0,0,1,0.01,1,0.01,1,0.01,1,0.01,0,0,1,0.01,2,0.03,3,0.04
山口県,2,0.05,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0,0,0,0
徳島県,4,0.17,0,0,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,0,0,0,0,1,0.04,2,0.09,0,0,0,0,0,0
香川県,8,0.29,0,0,0,0,2,0.07,1,0.04,2,0.07,1,0.04,0,0,0,0,0,0,1,0.04,0,0,0,0,0,0,1,0.04,0,0
愛媛県,14,0.39,0,0,1,0.03,2,0.05,2,0.05,2,0.05,1,0.03,1,0.03,2,0.05,0,0,0,0,0,0,0,0,2,0.05,1,0.03,0,0
高知県,4,0.16,0,0,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0,0,0,1,0.04,0,0,1,0.04,0,0,0,0,0,0
福岡県,41,0.34,4,0.03,4,0.03,1,0.01,0,0,4,0.03,1,0.01,4,0.03,2,0.02,2,0.02,0,0,2,0.02,4,0.03,4,0.03,5,0.04,4,0.03
佐賀県,10,0.43,0,0,0,0,1,0.04,1,0.04,2,0.09,1,0.04,0,0,0,0,1,0.04,1,0.04,1,0.04,1,0.04,0,0,0,0,1,0.04
長崎県,8,0.19,0,0,0,0,0,0,1,0.02,1,0.02,0,0,0,0,3,0.07,0,0,0,0,0,0,0,0,0,0,3,0.07,0,0
